source,ogc_fid,nom,type_revet,etat_chaus,longueur_m,lon,lat
voierie_tertiaire_non_bitumee,345,,,,181,43.150175,11.575219
voierie_tertiaire_non_bitumee,346,,,,114,43.149830,11.575017
voierie_tertiaire_non_bitumee,347,,,,65,43.149537,11.574524
voierie_tertiaire_non_bitumee,348,,,,36,43.149332,11.575488
voierie_tertiaire_non_bitumee,349,,,,37,43.149424,11.575643
voierie_tertiaire_non_bitumee,350,,,,38,43.149533,11.575827
voierie_tertiaire_non_bitumee,351,,,,37,43.149642,11.575998
voierie_tertiaire_non_bitumee,352,,,,41,43.149733,11.576173
voierie_tertiaire_non_bitumee,353,,,,30,43.149798,11.576365
voierie_tertiaire_non_bitumee,354,,,,31,43.149892,11.576540
voierie_tertiaire_non_bitumee,355,,,,259,43.143812,11.565722
voierie_tertiaire_non_bitumee,356,,,,198,43.155861,11.567110
voierie_tertiaire_non_bitumee,357,,,,193,43.156981,11.566293
voierie_tertiaire_non_bitumee,358,,,,203,43.146802,11.564944
voierie_tertiaire_non_bitumee,359,,,,60,43.147138,11.563543
voierie_tertiaire_non_bitumee,360,,,,563,43.149869,11.566593
voierie_tertiaire_non_bitumee,361,,,,163,43.136356,11.572050
voierie_tertiaire_non_bitumee,362,,,,263,43.135584,11.572410
voierie_tertiaire_non_bitumee,363,,,,261,43.134832,11.571384
voierie_tertiaire_non_bitumee,365,,,,179,43.135311,11.573615
voierie_tertiaire_non_bitumee,366,,,,141,43.134459,11.572435
voierie_tertiaire_non_bitumee,367,,,,180,43.135583,11.573416
voierie_tertiaire_non_bitumee,368,,,,140,43.134746,11.572227
voierie_tertiaire_non_bitumee,369,,,,176,43.135678,11.572486
voierie_tertiaire_non_bitumee,370,,,,98,43.136239,11.572483
voierie_tertiaire_non_bitumee,371,,,,66,43.135810,11.571877
voierie_tertiaire_non_bitumee,372,,,,118,43.135707,11.571556
voierie_tertiaire_non_bitumee,373,,,,81,43.137012,11.572944
voierie_tertiaire_non_bitumee,374,,,,66,43.137333,11.573531
voierie_tertiaire_non_bitumee,375,,,,64,43.136928,11.573810
voierie_tertiaire_non_bitumee,376,,,,154,43.136223,11.568971
voierie_tertiaire_non_bitumee,377,,,,495,43.136178,11.570172
voierie_tertiaire_non_bitumee,378,,,,159,43.144828,11.581774
voierie_tertiaire_non_bitumee,448,,,,93,43.140001,11.586335
voierie_tertiaire_non_bitumee,449,,,,51,43.140103,11.586519
voierie_tertiaire_non_bitumee,450,,,,73,43.139904,11.586391
voierie_tertiaire_non_bitumee,451,,,,74,43.139774,11.586214
voierie_tertiaire_non_bitumee,452,,,,91,43.139794,11.586458
voierie_tertiaire_non_bitumee,453,,,,45,43.139490,11.586929
voierie_tertiaire_non_bitumee,454,,,,49,43.139506,11.586935
voierie_tertiaire_non_bitumee,455,,,,28,43.139013,11.586896
voierie_tertiaire_non_bitumee,456,,,,77,43.138790,11.585885
voierie_tertiaire_non_bitumee,457,,,,45,43.138869,11.585979
voierie_tertiaire_non_bitumee,458,,,,43,43.138727,11.585782
voierie_tertiaire_non_bitumee,459,,,,46,43.139140,11.585499
voierie_tertiaire_non_bitumee,460,,,,46,43.139337,11.585366
voierie_tertiaire_non_bitumee,461,,,,76,43.139254,11.585440
voierie_tertiaire_non_bitumee,462,,,,48,43.139628,11.585747
voierie_tertiaire_non_bitumee,463,,,,45,43.139606,11.585745
voierie_tertiaire_non_bitumee,464,,,,98,43.138855,11.585092
voierie_tertiaire_non_bitumee,465,,,,43,43.138651,11.585224
voierie_tertiaire_non_bitumee,466,,,,43,43.138861,11.585096
voierie_tertiaire_non_bitumee,467,,,,42,43.139039,11.584954
voierie_tertiaire_non_bitumee,468,,,,66,43.143345,11.586446
voierie_tertiaire_non_bitumee,469,,,,81,43.143045,11.586051
voierie_tertiaire_non_bitumee,470,,,,33,43.142552,11.585692
voierie_tertiaire_non_bitumee,471,,,,78,43.142775,11.585716
voierie_tertiaire_non_bitumee,472,,,,56,43.143613,11.586758
voierie_tertiaire_non_bitumee,473,,,,75,43.143917,11.587359
voierie_tertiaire_non_bitumee,474,,,,109,43.138067,11.588782
voierie_tertiaire_non_bitumee,475,,,,130,43.138099,11.588503
voierie_tertiaire_non_bitumee,476,,,,70,43.137962,11.588613
voierie_tertiaire_non_bitumee,477,,,,58,43.137685,11.588403
voierie_tertiaire_non_bitumee,478,,,,62,43.137517,11.588268
voierie_tertiaire_non_bitumee,479,,,,59,43.137225,11.588120
voierie_tertiaire_non_bitumee,480,,,,73,43.137813,11.587566
voierie_tertiaire_non_bitumee,481,,,,73,43.138024,11.587690
voierie_tertiaire_non_bitumee,482,,,,73,43.138348,11.587824
voierie_tertiaire_non_bitumee,483,,,,78,43.138284,11.588773
voierie_tertiaire_non_bitumee,484,,,,87,43.138676,11.587964
voierie_tertiaire_non_bitumee,485,,,,81,43.137470,11.587447
voierie_tertiaire_non_bitumee,486,,,,216,43.139602,11.589327
voierie_tertiaire_non_bitumee,487,,,,141,43.139516,11.588696
voierie_tertiaire_non_bitumee,488,,,,55,43.139668,11.588418
voierie_tertiaire_non_bitumee,489,,,,123,43.137849,11.579380
voierie_tertiaire_non_bitumee,490,,,,158,43.137161,11.579992
voierie_tertiaire_non_bitumee,491,,,,67,43.137978,11.578916
voierie_tertiaire_non_bitumee,492,,,,162,43.137637,11.581449
voierie_tertiaire_non_bitumee,493,,,,177,43.132143,11.568091
voierie_tertiaire_non_bitumee,494,,,,89,43.133196,11.567406
voierie_tertiaire_non_bitumee,495,,,,84,43.132937,11.567238
voierie_tertiaire_non_bitumee,496,,,,23,43.132903,11.567085
voierie_tertiaire_non_bitumee,497,,,,22,43.132774,11.567321
